"CompType","CompInst","CAPEC","CAPECDescription","Confidentiality","Integrity","Availability","LikelihoodOfSuccess"
"Actuation","actuation","CAPEC-188","Reverse Engineering","Confidentiality",null,null,1.0
"Actuation","actuation","CAPEC-390","Bypassing Physical Security",null,"Integrity",null,1.0
"Actuation","actuation","CAPEC-390","Bypassing Physical Security","Confidentiality",null,null,1.0
"Actuation","actuation","CAPEC-390","Bypassing Physical Security",null,null,"Availability",1.0
"Actuation","actuation","CAPEC-440","Hardware Integrity Attack",null,"Integrity",null,1.0
"Actuation","actuation","CAPEC-507","Physical Theft",null,"Integrity",null,1.0
"Actuation","actuation","CAPEC-507","Physical Theft","Confidentiality",null,null,1.0
"Actuation","actuation","CAPEC-507","Physical Theft",null,null,"Availability",1.0
"Actuation","actuation","CAPEC-624","Fault Injection",null,"Integrity",null,1.0
"Actuation","actuation","CAPEC-624","Fault Injection","Confidentiality",null,null,1.0
"Camera","camera","CAPEC-188","Reverse Engineering","Confidentiality",null,null,1.0
"Camera","camera","CAPEC-390","Bypassing Physical Security",null,"Integrity",null,1.0
"Camera","camera","CAPEC-390","Bypassing Physical Security","Confidentiality",null,null,1.0
"Camera","camera","CAPEC-390","Bypassing Physical Security",null,null,"Availability",1.0
"Camera","camera","CAPEC-440","Hardware Integrity Attack",null,"Integrity",null,1.0
"Camera","camera","CAPEC-507","Physical Theft",null,"Integrity",null,1.0
"Camera","camera","CAPEC-507","Physical Theft","Confidentiality",null,null,1.0
"Camera","camera","CAPEC-507","Physical Theft",null,null,"Availability",1.0
"Camera","camera","CAPEC-624","Fault Injection",null,"Integrity",null,1.0
"Camera","camera","CAPEC-624","Fault Injection","Confidentiality",null,null,1.0
"Connector","connector","CAPEC-184","Software Integrity Attack",null,"Integrity",null,1.0
"Connector","connector","CAPEC-438","Modification During Manufacture",null,"Integrity",null,1.0
"Connector","connector","CAPEC-439","Manipulation During Distribution",null,"Integrity",null,1.0
"Connector","connector","CAPEC-440","Hardware Integrity Attack",null,"Integrity",null,1.0
"Connector","connector","CAPEC-507","Physical Theft",null,"Integrity",null,1.0
"Connector","connector","CAPEC-507","Physical Theft",null,null,"Availability",1.0
"Connector","connector","CAPEC-624","Fault Injection",null,"Integrity",null,1.0
"DeliveryItemMechanism","deliveryItemMechanism","CAPEC-188","Reverse Engineering","Confidentiality",null,null,1.0
"DeliveryItemMechanism","deliveryItemMechanism","CAPEC-390","Bypassing Physical Security",null,"Integrity",null,1.0
"DeliveryItemMechanism","deliveryItemMechanism","CAPEC-390","Bypassing Physical Security","Confidentiality",null,null,1.0
"DeliveryItemMechanism","deliveryItemMechanism","CAPEC-390","Bypassing Physical Security",null,null,"Availability",1.0
"DeliveryItemMechanism","deliveryItemMechanism","CAPEC-440","Hardware Integrity Attack",null,"Integrity",null,1.0
"DeliveryItemMechanism","deliveryItemMechanism","CAPEC-507","Physical Theft",null,"Integrity",null,1.0
"DeliveryItemMechanism","deliveryItemMechanism","CAPEC-507","Physical Theft","Confidentiality",null,null,1.0
"DeliveryItemMechanism","deliveryItemMechanism","CAPEC-507","Physical Theft",null,null,"Availability",1.0
"DeliveryItemMechanism","deliveryItemMechanism","CAPEC-624","Fault Injection",null,"Integrity",null,1.0
"DeliveryItemMechanism","deliveryItemMechanism","CAPEC-624","Fault Injection","Confidentiality",null,null,1.0
"DeliveryPlanner","deliveryPlanner","CAPEC-123","Buffer Manipulation",null,"Integrity",null,1.0
"DeliveryPlanner","deliveryPlanner","CAPEC-123","Buffer Manipulation",null,null,"Availability",1.0
"DeliveryPlanner","deliveryPlanner","CAPEC-125","Flooding",null,null,"Availability",1.0
"DeliveryPlanner","deliveryPlanner","CAPEC-130","Excessive Allocation",null,null,"Availability",1.0
"DeliveryPlanner","deliveryPlanner","CAPEC-131","Resource Leak Exposure",null,null,"Availability",1.0
"DeliveryPlanner","deliveryPlanner","CAPEC-137","Parameter Injection",null,"Integrity",null,1.0
