CompType,InputPort,InputCIA,OutputPort,OutputCIA
Actuators,cmd,Availability,payload_performed,Availability
Actuators,payloadCmdFC,Availability,payload_performed,Availability
Actuators,mstate,Availability,payload_performed,Availability
Actuators,payloadCmdRC,Availability,payload_performed,Availability
Actuators,cmd,Integrity,payload_performed,Integrity
Actuators,payloadCmdFC,Integrity,payload_performed,Integrity
Actuators,mstate,Integrity,payload_performed,Integrity
Actuators,payloadCmdRC,Integrity,payload_performed,Integrity
Actuators,cmd,Availability,battery_level,Availability
Actuators,payloadCmdFC,Availability,battery_level,Availability
Actuators,mstate,Availability,battery_level,Availability
Actuators,payloadCmdRC,Availability,battery_level,Availability
Actuators,cmd,Integrity,battery_level,Integrity
Actuators,payloadCmdFC,Integrity,battery_level,Integrity
Actuators,mstate,Integrity,battery_level,Integrity
Actuators,payloadCmdRC,Integrity,battery_level,Integrity
BatteryHealthCheck,battery_level,Availability,ATE7,Availability
BatteryHealthCheck,battery_level,Integrity,ATE7,Integrity
DME_VOR,,,dir,Availability
DME_VOR,,,dir,Integrity
DME_VOR,,,pos,Availability
DME_VOR,,,pos,Integrity
FlightController,mstate,Availability,waypoint,Availability
FlightController,dest_reached,Availability,waypoint,Availability
FlightController,payload_performed,Availability,waypoint,Availability
FlightController,tasks,Availability,waypoint,Availability
FlightController,mstate,Integrity,waypoint,Integrity
FlightController,dest_reached,Integrity,waypoint,Integrity
FlightController,payload_performed,Integrity,waypoint,Integrity
FlightController,tasks,Integrity,waypoint,Integrity
FlightController,mstate,Availability,payloadCmd,Availability
FlightController,dest_reached,Availability,payloadCmd,Availability
FlightController,payload_performed,Availability,payloadCmd,Availability
FlightController,tasks,Availability,payloadCmd,Availability
FlightController,mstate,Integrity,payloadCmd,Integrity
FlightController,dest_reached,Integrity,payloadCmd,Integrity
FlightController,payload_performed,Integrity,payloadCmd,Integrity
FlightController,tasks,Integrity,payloadCmd,Integrity
GPS,,,dir,Availability
GPS,,,dir,Integrity
GPS,,,pos,Availability
GPS,,,pos,Integrity
IRU,,,dir,Availability
IRU,,,dir,Integrity
IRU,,,pos,Availability
IRU,,,pos,Integrity
MissionPlanner,,,tasks,Availability
MissionPlanner,,,tasks,Integrity
Mixer,mstate,Availability,cmd,Availability
Mixer,moveRC,Availability,cmd,Availability
Mixer,moveNav,Availability,cmd,Availability
Mixer,currentDir,Availability,cmd,Availability
Mixer,mstate,Integrity,cmd,Integrity
Mixer,moveRC,Integrity,cmd,Integrity
Mixer,moveNav,Integrity,cmd,Integrity
Mixer,currentDir,Integrity,cmd,Integrity
Navigator,currentDir,Availability,move,Availability
Navigator,currentPos,Availability,move,Availability
Navigator,waypoint,Availability,move,Availability
Navigator,currentDir,Integrity,move,Integrity
Navigator,currentPos,Integrity,move,Integrity
Navigator,waypoint,Integrity,move,Integrity
Navigator,currentDir,Availability,dest_reached,Availability
Navigator,currentPos,Availability,dest_reached,Availability
Navigator,waypoint,Availability,dest_reached,Availability
Navigator,currentDir,Integrity,dest_reached,Integrity
Navigator,currentPos,Integrity,dest_reached,Integrity
Navigator,waypoint,Integrity,dest_reached,Integrity
PositionEstimator,voted_dir,Availability,currentDir,Availability
PositionEstimator,voted_dir,Integrity,currentDir,Integrity
PositionEstimator,voted_pos,Availability,currentPos,Availability
PositionEstimator,voted_pos,Integrity,currentPos,Integrity
RCReceiver,,,uavMode,Availability
RCReceiver,,,uavMode,Integrity
RCReceiver,,,move,Availability
RCReceiver,,,move,Integrity
RCReceiver,,,payloadCMD,Availability
RCReceiver,,,payloadCMD,Integrity
RCReceiver,,,normal,Availability
RCReceiver,,,normal,Integrity
RCReceiverHealthCheck,normal,Availability,ATE6,Availability
RCReceiverHealthCheck,normal,Integrity,ATE6,Integrity
StateController,ATE6,Availability,mstate,Availability
StateController,ATE7,Availability,mstate,Availability
StateController,uavMode,Availability,mstate,Availability
StateController,ATE6,Integrity,mstate,Integrity
StateController,ATE7,Integrity,mstate,Integrity
StateController,uavMode,Integrity,mstate,Integrity
TriplexVoter,gps_dir,Availability,voted_dir,Availability
TriplexVoter,dme_vor_dir,Availability,voted_dir,Availability
TriplexVoter,iru_dir,Availability,voted_dir,Availability
TriplexVoter,gps_dir,Integrity,voted_dir,Integrity
TriplexVoter,dme_vor_dir,Integrity,voted_dir,Integrity
TriplexVoter,iru_dir,Integrity,voted_dir,Integrity
TriplexVoter,gps_pos,Availability,voted_pos,Availability
TriplexVoter,dme_vor_pos,Availability,voted_pos,Availability
TriplexVoter,iru_pos,Availability,voted_pos,Availability
TriplexVoter,gps_pos,Integrity,voted_pos,Integrity
TriplexVoter,dme_vor_pos,Integrity,voted_pos,Integrity
TriplexVoter,iru_pos,Integrity,voted_pos,Integrity
