"CompType","CompInst","CAPEC","Confidentiality","Integrity","Availability","ApplicableDefenseProperties","ImplProperties","DAL"
"Actuation","actuation","CAPEC-188","Confidentiality",null,null,"PhysicalAccessControl;null;null","physicalAccessControl;null;null","7;null;null"
"Actuation","actuation","CAPEC-188","Confidentiality",null,null,"TamperProtection;null;null","null;null;null","null;null;null"
"Actuation","actuation","CAPEC-390",null,null,"Availability","SystemAccessControl;null;null","systemAccessControl;null;null","7;null;null"
"Actuation","actuation","CAPEC-390",null,"Integrity",null,"SystemAccessControl;null;null","systemAccessControl;null;null","7;null;null"
"Actuation","actuation","CAPEC-390","Confidentiality",null,null,"SystemAccessControl;null;null","systemAccessControl;null;null","7;null;null"
"Actuation","actuation","CAPEC-440",null,"Integrity",null,"PhysicalAccessControl;null;null","physicalAccessControl;null;null","7;null;null"
"Actuation","actuation","CAPEC-440",null,"Integrity",null,"TamperProtection;null;null","null;null;null","null;null;null"
"Actuation","actuation","CAPEC-507",null,null,"Availability","PhysicalAccessControl;null;null","physicalAccessControl;null;null","7;null;null"
"Actuation","actuation","CAPEC-507",null,"Integrity",null,"PhysicalAccessControl;null;null","physicalAccessControl;null;null","7;null;null"
"Actuation","actuation","CAPEC-507","Confidentiality",null,null,"PhysicalAccessControl;null;null","physicalAccessControl;null;null","7;null;null"
"Actuation","actuation","CAPEC-507","Confidentiality",null,null,"Zeroize;null;null","null;null;null","null;null;null"
"Actuation","actuation","CAPEC-624",null,"Integrity",null,"PhysicalAccessControl;null;null","physicalAccessControl;null;null","7;null;null"
"Actuation","actuation","CAPEC-624","Confidentiality",null,null,"PhysicalAccessControl;null;null","physicalAccessControl;null;null","7;null;null"
"Connection","c1DeliveryDroneSystem.ImplDeliveryDroneSystem","CAPEC-117","Confidentiality",null,null,"EncryptedTransmission;null;null","encryptedTransmission;null;null","6;null;null"
"Connection","c1DeliveryDroneSystem.ImplDeliveryDroneSystem","CAPEC-137",null,"Integrity",null,"DeviceAuthentication;null;null","null;null;null","null;null;null"
"Connection","c1DeliveryDroneSystem.ImplDeliveryDroneSystem","CAPEC-148",null,"Integrity",null,"DeviceAuthentication;null;null","null;null;null","null;null;null"
"Connection","c1DeliveryDroneSystem.ImplDeliveryDroneSystem","CAPEC-151",null,"Integrity",null,"DeviceAuthentication;null;null","null;null;null","null;null;null"
"Connection","c1DeliveryDroneSystem.ImplDeliveryDroneSystem","CAPEC-175",null,"Integrity",null,"DeviceAuthentication;null;null","null;null;null","null;null;null"
"Connection","c1DeliveryDroneSystem.ImplDeliveryDroneSystem","CAPEC-192","Confidentiality",null,null,"EncryptedTransmission;null;null","encryptedTransmission;null;null","6;null;null"
"Connection","c1DeliveryDroneSystem.ImplDeliveryDroneSystem","CAPEC-22",null,null,"Availability","DeviceAuthentication;null;null","null;null;null","null;null;null"
"Connection","c1DeliveryDroneSystem.ImplDeliveryDroneSystem","CAPEC-22",null,"Integrity",null,"DeviceAuthentication;null;null","null;null;null","null;null;null"
"Connection","c1DeliveryDroneSystem.ImplDeliveryDroneSystem","CAPEC-242",null,null,"Availability","DeviceAuthentication;null;null","null;null;null","null;null;null"
"Connection","c1DeliveryDroneSystem.ImplDeliveryDroneSystem","CAPEC-242",null,"Integrity",null,"DeviceAuthentication;null;null","null;null;null","null;null;null"
"Connection","c1DeliveryDroneSystem.ImplDeliveryDroneSystem","CAPEC-248",null,null,"Availability","DeviceAuthentication;null;null","null;null;null","null;null;null"
"Connection","c1DeliveryDroneSystem.ImplDeliveryDroneSystem","CAPEC-248",null,"Integrity",null,"DeviceAuthentication;null;null","null;null;null","null;null;null"
"Connection","c1DeliveryDroneSystem.ImplDeliveryDroneSystem","CAPEC-586",null,null,"Availability","DeviceAuthentication;null;null","null;null;null","null;null;null"
"Connection","c1DeliveryDroneSystem.ImplDeliveryDroneSystem","CAPEC-586",null,"Integrity",null,"DeviceAuthentication;null;null","null;null;null","null;null;null"
"Connection","c1DeliveryDroneSystem.ImplDeliveryDroneSystem","CAPEC-594",null,null,"Availability","DeviceAuthentication;null;null","null;null;null","null;null;null"
"Connection","c1DeliveryDroneSystem.ImplDeliveryDroneSystem","CAPEC-594",null,"Integrity",null,"DeviceAuthentication;null;null","null;null;null","null;null;null"
"Connection","c1bDeliveryDroneSystem.ImplDeliveryDroneSystem","CAPEC-117","Confidentiality",null,null,"EncryptedTransmission;null;null","null;null;null","null;null;null"
"Connection","c1bDeliveryDroneSystem.ImplDeliveryDroneSystem","CAPEC-192","Confidentiality",null,null,"EncryptedTransmission;null;null","null;null;null","null;null;null"
"Camera","camera","CAPEC-188","Confidentiality",null,null,"PhysicalAccessControl;null;null","physicalAccessControl;null;null","7;null;null"
"Camera","camera","CAPEC-188","Confidentiality",null,null,"TamperProtection;null;null","null;null;null","null;null;null"
"Camera","camera","CAPEC-390",null,null,"Availability","SystemAccessControl;null;null","systemAccessControl;null;null","7;null;null"
"Camera","camera","CAPEC-390",null,"Integrity",null,"SystemAccessControl;null;null","systemAccessControl;null;null","7;null;null"
"Camera","camera","CAPEC-390","Confidentiality",null,null,"SystemAccessControl;null;null","systemAccessControl;null;null","7;null;null"
"Camera","camera","CAPEC-440",null,"Integrity",null,"PhysicalAccessControl;null;null","physicalAccessControl;null;null","7;null;null"
"Camera","camera","CAPEC-440",null,"Integrity",null,"TamperProtection;null;null","null;null;null","null;null;null"
"Camera","camera","CAPEC-507",null,null,"Availability","PhysicalAccessControl;null;null","physicalAccessControl;null;null","7;null;null"
"Camera","camera","CAPEC-507",null,"Integrity",null,"PhysicalAccessControl;null;null","physicalAccessControl;null;null","7;null;null"
"Camera","camera","CAPEC-507","Confidentiality",null,null,"PhysicalAccessControl;null;null","physicalAccessControl;null;null","7;null;null"
"Camera","camera","CAPEC-507","Confidentiality",null,null,"Zeroize;null;null","null;null;null","null;null;null"
"Camera","camera","CAPEC-624",null,"Integrity",null,"PhysicalAccessControl;null;null","physicalAccessControl;null;null","7;null;null"
"Camera","camera","CAPEC-624","Confidentiality",null,null,"PhysicalAccessControl;null;null","physicalAccessControl;null;null","7;null;null"
"Connector","connector","CAPEC-184",null,"Integrity",null,"RemoteAttestation;MemoryProtection;SecureBoot","null;null;null","null;null;null"
"Connector","connector","CAPEC-438",null,"Integrity",null,"SupplyChainSecurity;null;null","null;null;null","null;null;null"
"Connector","connector","CAPEC-439",null,"Integrity",null,"SupplyChainSecurity;null;null","null;null;null","null;null;null"
"Connector","connector","CAPEC-440",null,"Integrity",null,"PhysicalAccessControl;null;null","null;null;null","null;null;null"
"Connector","connector","CAPEC-440",null,"Integrity",null,"TamperProtection;null;null","null;null;null","null;null;null"
"Connector","connector","CAPEC-507",null,null,"Availability","PhysicalAccessControl;null;null","null;null;null","null;null;null"
"Connector","connector","CAPEC-507",null,"Integrity",null,"PhysicalAccessControl;null;null","null;null;null","null;null;null"
"Connector","connector","CAPEC-624",null,"Integrity",null,"PhysicalAccessControl;null;null","null;null;null","null;null;null"
"DeliveryItemMechanism","deliveryItemMechanism","CAPEC-188","Confidentiality",null,null,"PhysicalAccessControl;null;null","physicalAccessControl;null;null","7;null;null"
"DeliveryItemMechanism","deliveryItemMechanism","CAPEC-188","Confidentiality",null,null,"TamperProtection;null;null","null;null;null","null;null;null"
"DeliveryItemMechanism","deliveryItemMechanism","CAPEC-390",null,null,"Availability","SystemAccessControl;null;null","systemAccessControl;null;null","7;null;null"
"DeliveryItemMechanism","deliveryItemMechanism","CAPEC-390",null,"Integrity",null,"SystemAccessControl;null;null","systemAccessControl;null;null","7;null;null"
"DeliveryItemMechanism","deliveryItemMechanism","CAPEC-390","Confidentiality",null,null,"SystemAccessControl;null;null","systemAccessControl;null;null","7;null;null"
"DeliveryItemMechanism","deliveryItemMechanism","CAPEC-440",null,"Integrity",null,"PhysicalAccessControl;null;null","physicalAccessControl;null;null","7;null;null"
"DeliveryItemMechanism","deliveryItemMechanism","CAPEC-440",null,"Integrity",null,"TamperProtection;null;null","null;null;null","null;null;null"
"DeliveryItemMechanism","deliveryItemMechanism","CAPEC-507",null,null,"Availability","PhysicalAccessControl;null;null","physicalAccessControl;null;null","7;null;null"
"DeliveryItemMechanism","deliveryItemMechanism","CAPEC-507",null,"Integrity",null,"PhysicalAccessControl;null;null","physicalAccessControl;null;null","7;null;null"
"DeliveryItemMechanism","deliveryItemMechanism","CAPEC-507","Confidentiality",null,null,"PhysicalAccessControl;null;null","physicalAccessControl;null;null","7;null;null"
"DeliveryItemMechanism","deliveryItemMechanism","CAPEC-507","Confidentiality",null,null,"Zeroize;null;null","null;null;null","null;null;null"
"DeliveryItemMechanism","deliveryItemMechanism","CAPEC-624",null,"Integrity",null,"PhysicalAccessControl;null;null","physicalAccessControl;null;null","7;null;null"
"DeliveryItemMechanism","deliveryItemMechanism","CAPEC-624","Confidentiality",null,null,"PhysicalAccessControl;null;null","physicalAccessControl;null;null","7;null;null"
"DeliveryPlanner","deliveryPlanner","CAPEC-116","Confidentiality",null,null,"RemoveIdentifyingInformation;null;null","null;null;null","null;null;null"
"DeliveryPlanner","deliveryPlanner","CAPEC-117","Confidentiality",null,null,"EncryptedTransmission;null;null","null;null;null","null;null;null"
"DeliveryPlanner","deliveryPlanner","CAPEC-123",null,null,"Availability","StaticCodeAnalysis;null;null","staticCodeAnalysis;null;null","7;null;null"
"DeliveryPlanner","deliveryPlanner","CAPEC-123",null,"Integrity",null,"StaticCodeAnalysis;null;null","staticCodeAnalysis;null;null","7;null;null"
"DeliveryPlanner","deliveryPlanner","CAPEC-123","Confidentiality",null,null,"StaticCodeAnalysis;null;null","staticCodeAnalysis;null;null","7;null;null"
"DeliveryPlanner","deliveryPlanner","CAPEC-125",null,null,"Availability","DosProtection;null;null","dosProtection;null;null","7;null;null"
"DeliveryPlanner","deliveryPlanner","CAPEC-130",null,null,"Availability","ResourceAvailability;null;null","resourceAvailability;null;null","7;null;null"
"DeliveryPlanner","deliveryPlanner","CAPEC-131",null,null,"Availability","ResourceAvailability;null;null","resourceAvailability;null;null","7;null;null"
"DeliveryPlanner","deliveryPlanner","CAPEC-137",null,"Integrity",null,"Logging;InputValidation;null","null;inputValidation;null","null;7;null"
"DeliveryPlanner","deliveryPlanner","CAPEC-151",null,"Integrity",null,"Heterogeneity;null;null","null;null;null","null;null;null"
"DeliveryPlanner","deliveryPlanner","CAPEC-151","Confidentiality",null,null,"Heterogeneity;null;null","null;null;null","null;null;null"
"DeliveryPlanner","deliveryPlanner","CAPEC-169","Confidentiality",null,null,"RemoveIdentifyingInformation;null;null","null;null;null","null;null;null"
"DeliveryPlanner","deliveryPlanner","CAPEC-175",null,"Integrity",null,"Logging;InputValidation;null","null;inputValidation;null","null;7;null"
"DeliveryPlanner","deliveryPlanner","CAPEC-184",null,"Integrity",null,"RemoteAttestation;MemoryProtection;SecureBoot","null;memoryProtection;secureBoot","null;7;7"
