"DefenseProperty","NISTProfile","DefenseDescription"
"InputValidation","SI-10-5;SI-10","Restrict Inputs to Trusted Sources and Approved Formats;Information Input Validation"
"EncryptedStorage","SC-28","Protection Of Information At Rest"
"DosProtection","SC-5-2;SC-5","Excess Capacity/Bandwidth/Redundancy;Denial of Service Protection"
"UserAuthentication","IA-2-9;IA-2-4;IA-2-3;IA-2-11;IA-2-2;IA-2-1;IA-2;IA-2-8;IA-2-12","Network Access to Non-Privileged Accounts - Replay Resistant;Local Access to Non-Privileged Accounts;Local Access to Privileged Accounts;Remote Access - Separate Device;Network Access to Non-Privileged Accounts;Network Access to Privileged Accounts;Identification and Authentication (Organizational Users);Network Access to Privileged Accounts - Replay Resistant;Acceptance of PIV Credentials"
"RemoveIdentifyingInformation","SC-7-16","Prevent Discovery of Components/Devices"
"PhysicalAccessControl","PE-3","Physical Access Control"
"SessionAuthenticity","SC-23","Session Authenticity"
"MemoryProtection","SI-16","Memory Protection"
"StrongCryptoAlgorithms","SC-13","Cryptographic Protection"
"SecureBoot","SI-7-15;SI-7-9;SI-7-6;SI-7-5","Code Authentication;Verify Boot Process;Cryptographic Protection;Automated Response To Integrity Violations"
"Logging","AU-9-3;AU-9;AU-12-3;AU-12-1;AU-12","Cryptographic Protection;Protection Of Audit Information;Changes By Authorized Individuals;System-wide / Time-correlated Audit Trail;Audit Generation"
"SupplyChainSecurity","SA-12","Supply Chain Protection"
"ResourceIsolation","SC-4","Information in Shared Resources"
"AntiJamming","SC-40","Wireless Link Protection"
"EncryptedTransmission","SC-8","Transmission Integrity"
"Heterogeneity","SC-29","Heterogeneity"
"ResourceAvailability","SC-6","Resource Availability"
"SystemAccessControl","PE-3-1","Information System Access Control"
"TamperProtection","PE-3-5","Tamper Protection"
"AuditMessageResponses","SI-11","Error Handling"
"DeviceAuthentication","IA-3-1;IA-3","Cryptographic Bidirectional Authentication;Device Identification And Authentication"
"StaticCodeAnalysis","SA-11-1","Static Code Analysis"
