"CompType","CompInst","CAPEC","CAPECDescription","Confidentiality","Integrity","Availability","LikelihoodOfSuccess"
"Connection","c14aDeliveryDroneSystem.ImplDeliveryDroneSystem","CAPEC-137","Parameter Injection",null,"Integrity",null,1.0
"Connection","c14aDeliveryDroneSystem.ImplDeliveryDroneSystem","CAPEC-148","Content Spoofing",null,"Integrity",null,1.0
"Connection","c14aDeliveryDroneSystem.ImplDeliveryDroneSystem","CAPEC-151","Identity Spoofing",null,"Integrity",null,1.0
"Connection","c14aDeliveryDroneSystem.ImplDeliveryDroneSystem","CAPEC-175","Code Inclusion",null,"Integrity",null,1.0
"Connection","c14aDeliveryDroneSystem.ImplDeliveryDroneSystem","CAPEC-22","Exploiting Trust in Client",null,"Integrity",null,1.0
"Connection","c14aDeliveryDroneSystem.ImplDeliveryDroneSystem","CAPEC-22","Exploiting Trust in Client",null,null,"Availability",1.0
"Connection","c14aDeliveryDroneSystem.ImplDeliveryDroneSystem","CAPEC-242","Code Injection",null,"Integrity",null,1.0
"Connection","c14aDeliveryDroneSystem.ImplDeliveryDroneSystem","CAPEC-242","Code Injection",null,null,"Availability",1.0
"Connection","c14aDeliveryDroneSystem.ImplDeliveryDroneSystem","CAPEC-248","Command Injection",null,"Integrity",null,1.0
"Connection","c14aDeliveryDroneSystem.ImplDeliveryDroneSystem","CAPEC-248","Command Injection",null,null,"Availability",1.0
"Connection","c14aDeliveryDroneSystem.ImplDeliveryDroneSystem","CAPEC-586","Object Injection",null,"Integrity",null,1.0
"Connection","c14aDeliveryDroneSystem.ImplDeliveryDroneSystem","CAPEC-586","Object Injection",null,null,"Availability",1.0
"Connection","c14aDeliveryDroneSystem.ImplDeliveryDroneSystem","CAPEC-594","Traffic Injection",null,"Integrity",null,1.0
"Connection","c14aDeliveryDroneSystem.ImplDeliveryDroneSystem","CAPEC-594","Traffic Injection",null,null,"Availability",1.0
"Connection","cc1GNC.ImplGNC","CAPEC-117","Interception","Confidentiality",null,null,1.0
"Connection","cc1GNC.ImplGNC","CAPEC-192","Protocol Analysis","Confidentiality",null,null,1.0
"Connection","cc2GNC.ImplGNC","CAPEC-137","Parameter Injection",null,"Integrity",null,1.0
"Connection","cc2GNC.ImplGNC","CAPEC-148","Content Spoofing",null,"Integrity",null,1.0
"Connection","cc2GNC.ImplGNC","CAPEC-151","Identity Spoofing",null,"Integrity",null,1.0
"Connection","cc2GNC.ImplGNC","CAPEC-151","Identity Spoofing","Confidentiality",null,null,1.0
"Connection","cc2GNC.ImplGNC","CAPEC-175","Code Inclusion",null,"Integrity",null,1.0
"Connection","cc2GNC.ImplGNC","CAPEC-22","Exploiting Trust in Client",null,"Integrity",null,1.0
"Connection","cc2GNC.ImplGNC","CAPEC-22","Exploiting Trust in Client","Confidentiality",null,null,1.0
