Comp,InputPort,InputCIA,OutputPort,OutputCIA
GPS,,,gps_pos,Availability
GPS,,,gps_pos,Integrity
IMU,,,imu_pos,Availability
IMU,,,imu_pos,Integrity
PositionEstimator,imu_pos,Availability,est_pos,Availability
PositionEstimator,gps_pos,Availability,est_pos,Availability
PositionEstimator,pos_act_in,Availability,est_pos,Availability
PositionEstimator,imu_pos,Integrity,est_pos,Integrity
PositionEstimator,gps_pos,Integrity,est_pos,Integrity
PositionEstimator,pos_act_in,Integrity,est_pos,Integrity
Navigation,est_pos,Availability,pos_act_out,Availability
Navigation,cmd,Availability,pos_act_out,Availability
Navigation,flight_control_state,Availability,pos_act_out,Availability
Navigation,est_pos,Integrity,pos_act_out,Integrity
Navigation,cmd,Integrity,pos_act_out,Integrity
Navigation,flight_control_state,Integrity,pos_act_out,Integrity
Navigation,est_pos,Availability,cur_pos,Availability
Navigation,cmd,Availability,cur_pos,Availability
Navigation,flight_control_state,Availability,cur_pos,Availability
Navigation,est_pos,Integrity,cur_pos,Integrity
Navigation,cmd,Integrity,cur_pos,Integrity
Navigation,flight_control_state,Integrity,cur_pos,Integrity
Navigation,est_pos,Availability,move,Availability
Navigation,cmd,Availability,move,Availability
Navigation,flight_control_state,Availability,move,Availability
Navigation,est_pos,Integrity,move,Integrity
Navigation,cmd,Integrity,move,Integrity
Navigation,flight_control_state,Integrity,move,Integrity
FlightControl,move,Availability,motor_cmd,Availability
FlightControl,actuation_response,Availability,motor_cmd,Availability
FlightControl,move,Integrity,motor_cmd,Integrity
FlightControl,actuation_response,Integrity,motor_cmd,Integrity
FlightControl,move,Availability,fc_state,Availability
FlightControl,actuation_response,Availability,fc_state,Availability
FlightControl,move,Integrity,fc_state,Integrity
FlightControl,actuation_response,Integrity,fc_state,Integrity
Actuation,motor_cmd,Availability,response,Availability
Actuation,motor_cmd,Integrity,response,Integrity
DeliveryPlanner,cur_pos,Availability,radio_cmd,Availability
DeliveryPlanner,delivery_status,Availability,radio_cmd,Availability
DeliveryPlanner,camera_result,Availability,radio_cmd,Availability
DeliveryPlanner,radio_response,Availability,radio_cmd,Availability
DeliveryPlanner,cur_pos,Integrity,radio_cmd,Integrity
DeliveryPlanner,delivery_status,Integrity,radio_cmd,Integrity
DeliveryPlanner,camera_result,Integrity,radio_cmd,Integrity
DeliveryPlanner,radio_response,Integrity,radio_cmd,Integrity
DeliveryPlanner,cur_pos,Availability,camera,Availability
DeliveryPlanner,delivery_status,Availability,camera,Availability
DeliveryPlanner,camera_result,Availability,camera,Availability
DeliveryPlanner,radio_response,Availability,camera,Availability
DeliveryPlanner,cur_pos,Integrity,camera,Integrity
DeliveryPlanner,delivery_status,Integrity,camera,Integrity
DeliveryPlanner,camera_result,Integrity,camera,Integrity
DeliveryPlanner,radio_response,Integrity,camera,Integrity
DeliveryPlanner,cur_pos,Availability,delivery_cmd,Availability
DeliveryPlanner,delivery_status,Availability,delivery_cmd,Availability
DeliveryPlanner,camera_result,Availability,delivery_cmd,Availability
DeliveryPlanner,radio_response,Availability,delivery_cmd,Availability
DeliveryPlanner,cur_pos,Integrity,delivery_cmd,Integrity
DeliveryPlanner,delivery_status,Integrity,delivery_cmd,Integrity
DeliveryPlanner,camera_result,Integrity,delivery_cmd,Integrity
DeliveryPlanner,radio_response,Integrity,delivery_cmd,Integrity
DeliveryPlanner,cur_pos,Availability,nav_cmd,Availability
DeliveryPlanner,delivery_status,Availability,nav_cmd,Availability
DeliveryPlanner,camera_result,Availability,nav_cmd,Availability
DeliveryPlanner,radio_response,Availability,nav_cmd,Availability
DeliveryPlanner,cur_pos,Integrity,nav_cmd,Integrity
DeliveryPlanner,delivery_status,Integrity,nav_cmd,Integrity
DeliveryPlanner,camera_result,Integrity,nav_cmd,Integrity
DeliveryPlanner,radio_response,Integrity,nav_cmd,Integrity
DeliveryPlanner,cur_pos,Availability,bus_out,Availability
DeliveryPlanner,delivery_status,Availability,bus_out,Availability
DeliveryPlanner,camera_result,Availability,bus_out,Availability
DeliveryPlanner,radio_response,Availability,bus_out,Availability
DeliveryPlanner,cur_pos,Integrity,bus_out,Integrity
DeliveryPlanner,delivery_status,Integrity,bus_out,Integrity
DeliveryPlanner,camera_result,Integrity,bus_out,Integrity
DeliveryPlanner,radio_response,Integrity,bus_out,Integrity
Radio,radio_in,Availability,radio_out,Availability
Radio,radio_in,Integrity,radio_out,Integrity
Radio,comm_in,Availability,comm_out,Availability
Radio,comm_in,Integrity,comm_out,Integrity
DeliveryItemMechanism,delivery_cmd_in,Availability,delivery_status_out,Availability
DeliveryItemMechanism,delivery_cmd_in,Integrity,delivery_status_out,Integrity
Camera,camera_in,Availability,camera_out,Availability
Camera,camera_in,Integrity,camera_out,Integrity
Connector,bus_in,Availability,bus_out,Availability
Connector,bus_in,Integrity,bus_out,Integrity
