Scenario,ConnectionName,SrcCompType,SrcCompInstance,SrcPortName,DestCompType,DestCompInstance,DestPortName,Flow1,Flow2,Flow3
ModelA,ethernet1,GPS,gps,pos,PositionEstimator,position_estimator,GPS_pos,Xdata,,
ModelA,ethernet2,GPS,gps,dir,PositionEstimator,position_estimator,GPS_dir,Xdata,,
ModelA,ethernet3,PositionEstimator,position_estimator,currentPos,Navigator,navigator,currentPos,Xdata,,
ModelA,ethernet4A,PositionEstimator,position_estimator,currentDir,Navigator,navigator,currentDir,Xdata,,
ModelA,ethernet4B,PositionEstimator,position_estimator,currentDir,Mixer,mixer,currentDir,Xdata,,
ModelA,ethernet5,Navigator,navigator,dest_reached,FlightController,flight_controller,dest_reached,Xdata,,
ModelA,ethernet6,Navigator,navigator,move,Mixer,mixer,moveNav,Xdata,,
ModelA,ethernet7,FlightController,flight_controller,waypoint,Navigator,navigator,waypoint,Xdata,,
ModelA,ethernet8,FlightController,flight_controller,payloadCmd,Actuators,actuators,payloadCmdFC,,Control,
ModelA,ethernet9,MissionPlanner,mission_planner,tasks,FlightController,flight_controller,tasks,Xdata,,
ModelA,ethernet10,RCReceiver,RC_receiver,normal,RCReceiverHealthCheck,RC_receiver_health_check,normal,Xdata,,
ModelA,ethernet11,RCReceiverHealthCheck,RC_receiver_health_check,ATE6,StateController,state_controller,ATE6,Xdata,,
ModelA,ethernet12,StateController,state_controller,mstate,FlightController,flight_controller,mstate,Xdata,,
ModelA,ethernet21,StateController,state_controller,mstate,Mixer,mixer,mstate,Xdata,,
ModelA,ethernet13,Actuators,actuators,payload_performed,FlightController,flight_controller,payload_performed,,Control,
ModelA,ethernet14,Actuators,actuators,battery_level,BatteryHealthCheck,battery_health_check,battery_level,Xdata,,
ModelA,ethernet15,BatteryHealthCheck,battery_health_check,ATE7,StateController,state_controller,ATE7,Xdata,,
ModelA,ethernet16,Mixer,mixer,cmd,Actuators,actuators,cmd,,Control,
ModelA,ethernet17,RCReceiver,RC_receiver,payloadCmd,Actuators,actuators,payloadCmdRC,,Control,
ModelA,ethernet18,RCReceiver,RC_receiver,move,Mixer,mixer,moveRC,,Control,
ModelA,ethernet19,RCReceiver,RC_receiver,uavMode,StateController,state_controller,uavMode,Xdata,,
ModelA,ethernet20,StateController,state_controller,mstate,Actuators,actuators,mstate,Xdata,,
