Scenario,ConnectionName,SrcCompType,SrcCompInstance,SrcPortName,DestCompType,DestCompInstance,DestPortName,Flow1,Flow2,Flow3
ModelD,ethernet1,TriplexVoter,triplex_voter,voted_pos,PositionEstimator,position_estimator,GPS_pos,Xdata,,
ModelD,ethernet2,TriplexVoter,triplex_voter,voted_dir,PositionEstimator,position_estimator,GPS_dir,Xdata,,
ModelD,ethernet3,PositionEstimator,position_estimator,currentPos,Navigator,navigator,currentPos,Xdata,,
ModelD,ethernet4A,PositionEstimator,position_estimator,currentDir,Navigator,navigator,currentDir,Xdata,,
ModelD,ethernet4B,PositionEstimator,position_estimator,currentDir,Mixer,mixer,currentDir,Xdata,,
ModelD,ethernet5,Navigator,navigator,dest_reached,FlightController,flight_controller,dest_reached,Xdata,,
ModelD,ethernet6,Navigator,navigator,move,NavigatorFilter,navigator_filter,moveNav,Xdata,,
ModelD,ethernet7,FlightController,flight_controller,waypoint,Navigator,navigator,waypoint,Xdata,,
ModelD,ethernet8,FlightController,flight_controller,payloadCmd,Actuators,actuators,payloadCmdFC,,Control,
ModelD,ethernet9,MissionPlanner,mission_planner,tasks,FlightController,flight_controller,tasks,Xdata,,
ModelD,ethernet10,RCReceiver,RC_receiver,normal,RCReceiverHealthCheck,RC_receiver_health_check,normal,Xdata,,
ModelD,ethernet11,RCReceiverHealthCheck,RC_receiver_health_check,ATE6,StateController,state_controller,ATE6,Xdata,,
ModelD,ethernet12,StateController,state_controller,mstate,FlightController,flight_controller,mstate,Xdata,,
ModelD,ethernet21,StateController,state_controller,mstate,Mixer,mixer,mstate,Xdata,,
ModelD,ethernet13,Actuators,actuators,payload_performed,FlightController,flight_controller,payload_performed,,Control,
ModelD,ethernet14,Actuators,actuators,battery_level,BatteryHealthCheck,battery_health_check,battery_level,Xdata,,
ModelD,ethernet15,BatteryHealthCheck,battery_health_check,ATE7,StateController,state_controller,ATE7,Xdata,,
ModelD,ethernet16,Mixer,mixer,cmd,Actuators,actuators,cmd,,Control,
ModelD,ethernet17,RCReceiver,RC_receiver,payloadCmd,Actuators,actuators,payloadCmdRC,,Control,
ModelD,ethernet18,RCReceiver,RC_receiver,move,Mixer,mixer,moveRC,,Control,
ModelD,ethernet19,RCReceiver,RC_receiver,uavMode,StateController,state_controller,uavMode,Xdata,,
ModelD,ethernet20,StateController,state_controller,mstate,Actuators,actuators,mstate,Xdata,,
ModelD,ethernet29_A,GPS,gps,pos,TriplexVoter,triplex_voter,gps_pos,Xdata,,
ModelD,ethernet30_A,GPS,gps,dir,TriplexVoter,triplex_voter,gps_dir,Xdata,,
ModelD,ethernet29_B,DME_VOR,dme_vor,pos,TriplexVoter,triplex_voter,dme_vor_pos,Xdata,,
ModelD,ethernet30_B,DME_VOR,dme_vor,dir,TriplexVoter,triplex_voter,dme_vor_dir,Xdata,,
ModelD,ethernet29_C,IRU,iru,pos,TriplexVoter,triplex_voter,iru_pos,Xdata,,
ModelD,ethernet30_C,IRU,iru,dir,TriplexVoter,triplex_voter,iru_dir,Xdata,,
ModelD,ethernet31,NavigatorFilter,navigator_filter,filtered_move,Mixer,mixer,moveNav,Xdata,,   
 
