Scenario,ConnectionName,SrcComp,SrcImpl,SrcCompInstance,SrcCompCategory,SrcPortName,SrcPortType,DestComp,DestImpl,DestCompInstance,DestCompCategory,DestPortName,DestPortType
verdict,c1,PositionEstimator,,positionEstimator,,est_pos_out,out,Navigation,,navigation,,pos_in,in
verdict,c1b,DeliveryDroneSystem,DeliveryDroneSystem.Impl,,,launch_pos,in,IMU,,imu,,launch_pos_in,in
verdict,c2,Navigation,,navigation,,move_out,out,FlightControl,,fc,,move_in,in
verdict,c3,FlightControl,,fc,,state_out,out,Navigation,,navigation,,state_in,in
verdict,c4,DeliveryPlanner,,deliveryPlanner,,dest_location,out,Navigation,,navigation,,nav_dest_location,in
verdict,c5,Navigation,,navigation,,nav_location_out,out,DeliveryPlanner,,deliveryPlanner,,nav_location,in
verdict,c7,DeliveryItemMechanism,,deliveryItemMechanism,,delivery_status_out,out,DeliveryPlanner,,deliveryPlanner,,delivery_status,in
verdict,c9,Camera,,camera,,camera_out,out,DeliveryPlanner,,deliveryPlanner,,camera_result,in
verdict,c10,DeliveryPlanner,,deliveryPlanner,,radio_cmd,out,Radio,,radio,,radio_in,in
verdict,c11,Radio,,radio,,radio_out,out,DeliveryPlanner,,deliveryPlanner,,radio_response,in
verdict,c12,GPS,,gps,,gps_pos_out,out,PositionEstimator,,positionEstimator,,gps_pos_in,in
verdict,c14,DeliveryDroneSystem,DeliveryDroneSystem.Impl,,,bus1,in,DeliveryPlanner,,deliveryPlanner,,bus_in,in
verdict,c15,DeliveryPlanner,,deliveryPlanner,,bus_out,out,DeliveryDroneSystem,DeliveryDroneSystem.Impl,,,bus2,out
verdict,c16,DeliveryDroneSystem,DeliveryDroneSystem.Impl,,,comm1,in,Radio,,radio,,comm_in,in
verdict,c17,Radio,,radio,,comm_out,out,DeliveryDroneSystem,DeliveryDroneSystem.Impl,,,comm2,out
verdict,c18a,IMU,,imu,,imu_pos_out,out,PositionEstimator,,positionEstimator,,imu_pos_in,in
verdict,c19,FlightControl,,fc,,motor_cmd,out,Actuation,,actuation,,motor_cmd_in,in
verdict,c20,Actuation,,actuation,,response_out,out,FlightControl,,fc,,response_in,in
verdict,c22,DeliveryDroneSystem,DeliveryDroneSystem.Impl,,,satellite_sig_pos,in,GPS,,gps,,satellite_pos_in,in
verdict,c24,Navigation,,navigation,,pos_act_out,out,PositionEstimator,,positionEstimator,,pos_act_in,in
verdict,c25,DeliveryPlanner,,deliveryPlanner,,delivery_cmd_out,out,DeliveryItemMechanism,,deliveryItemMechanism,,delivery_cmd_in,in
verdict,c26,DeliveryPlanner,,deliveryPlanner,,cmd_out,out,Navigation,,navigation,,cmd_in,in
verdict,c27,DeliveryPlanner,,deliveryPlanner,,camera_out,out,Camera,,camera,,camera_in,in
verdict,c28,DeliveryPlanner,,deliveryPlanner,,radio_cmd,out,DeliveryDroneSystem,DeliveryDroneSystem.Impl,,,radio_cmd,out
verdict,c29,Radio,,radio,,radio_out,out,DeliveryDroneSystem,DeliveryDroneSystem.Impl,,,radio_response,out
verdict,c30,DeliveryItemMechanism,,deliveryItemMechanism,,delivery_status_out,out,DeliveryDroneSystem,DeliveryDroneSystem.Impl,,,delivery_status,out
verdict,c31,DeliveryPlanner,,deliveryPlanner,,delivery_cmd_out,out,DeliveryDroneSystem,DeliveryDroneSystem.Impl,,,delivery_cmd_out,out
verdict,c32,Actuation,,actuation,,response_out,out,DeliveryDroneSystem,DeliveryDroneSystem.Impl,,,actuation_out,out
